SST,COEFF1,COEFF2,COEFF3,COEFF4
6.777,0.598,0.589,0.196,0.259
6.837,0.636,0.585,0.196,0.264
6.898,0.63,0.596,0.195,0.269
6.958,0.632,0.603,0.195,0.274
7.019,0.627,0.61,0.194,0.28
7.08,0.62,0.617,0.194,0.284
7.141,0.621,0.621,0.194,0.289
7.203,0.618,0.629,0.194,0.295
7.264,0.622,0.633,0.195,0.298
7.325,0.62,0.645,0.195,0.303
7.384,0.622,0.653,0.196,0.307
7.443,0.618,0.66,0.196,0.311
7.501,0.618,0.667,0.197,0.314
7.559,0.62,0.671,0.198,0.316
7.617,0.62,0.675,0.197,0.319
7.674,0.624,0.678,0.196,0.322
7.732,0.63,0.682,0.196,0.325
7.789,0.638,0.682,0.195,0.327
7.846,0.645,0.685,0.195,0.331
7.903,0.658,0.685,0.196,0.33
7.958,0.663,0.687,0.198,0.329
8.013,0.665,0.69,0.199,0.328
8.069,0.674,0.689,0.201,0.325
8.123,0.675,0.689,0.203,0.324
8.177,0.673,0.694,0.205,0.324
8.23,0.673,0.7,0.208,0.324
8.285,0.679,0.7,0.21,0.325
8.339,0.682,0.708,0.212,0.327
8.393,0.684,0.719,0.213,0.327
8.445,0.693,0.721,0.214,0.328
8.497,0.698,0.724,0.216,0.327
8.548,0.707,0.724,0.217,0.323
8.599,0.719,0.722,0.219,0.323
8.649,0.731,0.719,0.22,0.324
8.701,0.735,0.721,0.223,0.322
8.752,0.743,0.722,0.223,0.322
8.802,0.739,0.732,0.222,0.325
8.854,0.734,0.738,0.221,0.325
8.906,0.732,0.744,0.223,0.325
8.958,0.735,0.745,0.224,0.324
9.011,0.737,0.747,0.226,0.326
9.062,0.747,0.743,0.228,0.325
9.114,0.75,0.747,0.229,0.327
9.165,0.751,0.75,0.226,0.333
9.216,0.747,0.752,0.224,0.338
9.267,0.745,0.757,0.222,0.342
9.319,0.742,0.764,0.22,0.347
9.37,0.734,0.771,0.218,0.351
9.422,0.73,0.778,0.22,0.349
9.474,0.729,0.789,0.219,0.351
9.527,0.724,0.792,0.218,0.352
9.58,0.719,0.794,0.217,0.352
9.634,0.721,0.791,0.217,0.35
9.687,0.726,0.785,0.217,0.352
9.74,0.726,0.782,0.217,0.352
9.793,0.729,0.782,0.217,0.352
9.846,0.737,0.781,0.218,0.352
9.898,0.747,0.783,0.22,0.352
9.949,0.752,0.785,0.223,0.352
9.999,0.763,0.784,0.224,0.353
10.05,0.767,0.788,0.227,0.353
10.1,0.767,0.788,0.228,0.352
10.149,0.757,0.788,0.226,0.353
10.199,0.751,0.791,0.226,0.354
10.25,0.743,0.793,0.225,0.353
10.3,0.742,0.794,0.224,0.352
10.351,0.741,0.796,0.224,0.353
10.401,0.743,0.797,0.223,0.353
10.453,0.741,0.801,0.222,0.354
10.504,0.742,0.803,0.221,0.354
10.555,0.743,0.8,0.222,0.355
10.606,0.742,0.799,0.222,0.353
10.656,0.74,0.8,0.223,0.352
10.707,0.743,0.8,0.224,0.353
10.758,0.749,0.796,0.225,0.352
10.808,0.746,0.804,0.224,0.355
10.859,0.743,0.809,0.222,0.357
10.908,0.737,0.819,0.221,0.358
